Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦120,000,000","Parah Md Properties Ltd
  08104137577",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3337750-3-bedroom-terrace-duplex
3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦250,000,000","Parah Md Properties Ltd
  08104137577",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3337651-3-bedroom-apartment-with-bq
Luxury 3 Bedroom Apartment With Bq,"Gra, Ikeja, Lagos","₦380,000,000","Knight Angels Realties Ltd
  08151917169",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3358043-luxury-3-bedroom-apartment-with-bq
3 Bedroom Terrace + Bq,"Ikate, Lekki, Lagos","₦225,000,000","Balafama Realties
  09135882965",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3310759-3-bedroom-terrace-bq
Luxury 3 Bedroom + Bq + Pool + Gym,"Banana Island, Ikoyi, Lagos","₦850,000,000","Balafama Realties
  09135882965",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3357933-luxury-3-bedroom-bq-pool-gym
Exquisite And Tastefully Built 3 Bedroom Apartment,"Ikoyi, Lagos","$850,000","Anene & Associates
  09158869834",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/2265782-exquisite-and-tastefully-built-3-bedroom-apartment
Standard 3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦90,000,000","Parah Md Properties Ltd
  08104137577",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3357890-standard-3-bedroom-terrace-duplex
Luxiry3 Bedroom Terrace Duplex,"Ikota Lekki,lagos., Lekki, Lagos","₦110,000,000","John Akhamie & Co.
  09060005066",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3357882-luxiry3-bedroom-terrace-duplex
Well Finished 3 Bedroom Apartments,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","Parah Md Properties Ltd
  08104137577",3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3357855-well-finished-3-bedroom-apartments
15 Units Of 3 Bedroom Apartments,"Old Ikoyi, Ikoyi, Lagos","$8,000,000","Anene & Associates
  09158869834",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3357811-15-units-of-3-bedroom-apartments
Well Built 3 Bedroom Semidetached Duplex,"Lekki, Lagos","₦200,000,000","Arealhomesng
  09065277779",3,3,4,4,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3356693-well-built-3-bedroom-semidetached-duplex
"3 Bedroom Apartment With Bq, Elevator And Pool","Ikeja GRA, Ikeja, Lagos","₦400,000,000","Pmng Acquisitions Ltd (paymonthly.ng).
  08023828064",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3357784-3-bedroom-apartment-with-bq-elevator-and-pool
