Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link
Lovely 3 Bedroom Terrace Duplex With Bq,"Ikota, Lekki, Lagos","₦140,000,000","De Itj Realty Company
  09035137760",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3359926-lovely-3-bedroom-terrace-duplex-with-bq
Executive Newly Built 3 Bedroom Flat,"Off Kilo, Surulere, Lagos","₦112,000,000","Desire Property Consultancy And Management
  09057516601",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3359888-executive-newly-built-3-bedroom-flat
Luxury 3 Bedroom Apartment With 2 Kitchens And A Bq On 185sqm,"Lekki Phase 1, Lekki, Lagos","₦380,000,000","David Anu
  +2348100207059",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/2873197-luxury-3-bedroom-apartment-with-2-kitchens-and-a-bq-on-185sqm
3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","Egcent Limited
  08036803104",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359887-3-bedroom-apartment-with-a-boys-quarters
Exquisitely Built 3 Bedroom Apartment,"Surulere, Lagos","₦120,000,000","Investwithamos
  09136754284",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/surulere/3359886-exquisitely-built-3-bedroom-apartment
100% Dryland With A Storey Building Blocks Of Flat And Big Shop,"Alapere, Ketu, Lagos","₦103,000,000","Amzat Odu Ltd
  08129930038",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ketu/alapere/3359879-100-dryland-with-a-storey-building-blocks-of-flat-and-big-shop
3 Bedroom Apartment,"Lekki Scheme 2, Ajah, Lagos","₦95,000,000","Tedhol Properties Ltd
  08032670727",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/3359866-3-bedroom-apartment
3 Bedrooms Maisonette Duplex With Bq,"Famuyiwa Street, Off Mobil Road., Ajah, Lagos","₦135,000,000","Plusworld Realtors
  08060014915",3,4,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/3041383-3-bedrooms-maisonette-duplex-with-bq
Spacious 3 Bedroom Terrace,"Salem, Lekki, Lagos","₦220,000,000","Diverse Concept Ng
  08126678518",3,3,4,4,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3359833-spacious-3-bedroom-terrace
Serviced 3 Bedroom Flat With A Room Bq On D 2nd Floor,"Ikeja GRA, Ikeja, Lagos","₦365,000,000","Chaman Law Firm
  08096888818",3,3,3,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3243949-serviced-3-bedroom-flat-with-a-room-bq-on-d-2nd-floor
4 Units Of 3 Bedroom Flats Sitting On Full Plot Of Land Global C Of O,"Greenville Estate, Badore, Ajah, Lagos","₦130,000,000","Bohvic Project & Services Ltd
  07066231670",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ajah/badore/2537578-4-units-of-3-bedroom-flats-sitting-on-full-plot-of-land-global-c-of-o
A Luxurious 3 Bedroom + 2 Unit Mini Flat,"Idayin, Agbara-Igbesa, Lagos","₦44,000,000","Prolific Estates & Consults Ltd
  07085753158",3,3,4,N/A,330,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/agbara-igbesa/3359771-a-luxurious-3-bedroom-2-unit-mini-flat
3 Bedroom Bungalow,"Abraham Adesanya Estate, Ajah, Lagos","₦95,000,000","Isma's Fourth Global Concept
  09062134914",3,3,3,3,N/A,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3254743-3-bedroom-bungalow
3 Bedroom Apartment,"Nike Art Gallery Road, Ikate, Lekki, Lagos","₦270,000,000","Glovelli Realty
  07053735154",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359629-3-bedroom-apartment
"Exquisitely Finished 3 Bedroom Apartment With Elevator , Swimming Pool","Lekki Phase 1, Lekki, Lagos","₦470,000,000","Tajes Realty
  +2348140620821",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359618-exquisitely-finished-3-bedroom-apartment-with-elevator-swimming-pool
Newly Built 3 Bedroom Apartments In Serene Environment,"Surulere, Lagos","₦120,000,000","Ifes Realty
  07032662532",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/surulere/3359565-newly-built-3-bedroom-apartments-in-serene-environment
24 Units Of Luxury Three-Bedroom Apartments,"Ikoyi, Lagos","$1,300,000","Knight Angels Realties Ltd
  08151917169",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikoyi/3197513-24-units-of-luxury-three-bedroom-apartments
Well-Designed 3 Bedrooms Apartment With A Boys Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","Elizadebiyil.t.d
  08168653778",3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359546-well-designed-3-bedrooms-apartment-with-a-boys-quarters
3 Bedrooms,"Ahmadu Bello Way, New Coastal Road, Victoria Island (VI), Lagos","₦420,000,000","Hojizrealty
  07011977558",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3308153-3-bedrooms
3 Bedroom Luxury Apartment,"Off Landbridge Avenue, Oniru, Victoria Island (VI), Lagos","₦600,000,000","Trustcrow Digital Nigerial Limited
  08168511658",3,4,4,N/A,250,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3069437-3-bedroom-luxury-apartment
Direct Brief: Luxury 3 Bedrooms Apartment,"Oniru, Victoria Island (VI), Lagos","₦600,000,000","Trustcrow Digital Nigerial Limited
  08168511658",3,5,4,N/A,"6,000",https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/3070452-direct-brief-luxury-3-bedrooms-apartment
3 Bedroom Flat With Excellent Facilities,"Odudwa Crescent, Ikeja GRA, Ikeja, Lagos","₦350,000,000","Trustcrow Digital Nigerial Limited
  08168511658",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3300164-3-bedroom-flat-with-excellent-facilities
Exquisite 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","Tory's Realty
  09048062106",3,3,3,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359402-exquisite-3-bedroom-apartment-with-bq
Luxury Three Bedroom Penthouse With Bq,"Haven Pearl Estate, Haven Homes, Lekki Phase 1, Lekki, Lagos","₦400,000,000","Conceptry Edge Limited
  08037027687",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3286311-luxury-three-bedroom-penthouse-with-bq
3 Bedroom Apartment,"Ikota, Lekki, Lagos","₦95,000,000","Afflux Properties
  08132281643",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikota/3359326-3-bedroom-apartment
Luxurious Built 3 Bedroom Flat With Bq,"Lekki Phase 1, Lekki, Lagos","₦350,000,000","Shepherdrealty
  09074303648",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/2936283-luxurious-built-3-bedroom-flat-with-bq
Newly Built 3 Bedroom Flat All Room Ensuite With A Boys Quarters,"Off Mobolaji Bank Anthony Way, Ikeja, Lagos","₦220,000,000","Riyadh Realtors
  09050170123",3,N/A,N/A,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3359204-newly-built-3-bedroom-flat-all-room-ensuite-with-a-boys-quarters
Well-Designed 3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000","Planwell Homes Limited
  +2349063081858",3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3359251-well-designed-3-bedroom-apartment-with-a-boys-quarters
Newly Built 3 Bedroom Apartment In A Good Neighborhood,"Ogba, Ikeja, Lagos","₦150,000,000","Exclusive Real Estate
  09026904592",3,4,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/ogba/3359229-newly-built-3-bedroom-apartment-in-a-good-neighborhood
