Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Uncompleted 3 Bedroom,"Igbogbo, Ikorodu, Lagos","₦13,000,000",Nikolight 07085741001,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/2755601-uncompleted-3-bedroom,13000000
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000",Bankofproperty Ltd 08061764516,3,3.0,3.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq,300000000
"Luxury 3 Bedroom, Maisonette","Orange Island, Lekki, Lagos","₦300,000,000",Kenneth Abuah Consult 09137178516,3,4.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/orange-island/3361513-luxury-3-bedroom-maisonette,300000000
A Newly Built Block Of 3-Bedroom Apartment,"Emina Crescent, Off Toyin Street, Ikeja, Lagos","₦180,000,000",John Zedomi & Associates 07013950476,3,3.0,3.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/3361516-a-newly-built-block-of-3-bedroom-apartment,180000000
3 Units Of 4 Bedrooms Terrace House With Boys Quarters,"Ilasan, Lekki, Lagos","₦280,000,000",Kenneth Abuah Consult 09137178516,3,,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ilasan/3144528-3-units-of-4-bedrooms-terrace-house-with-boys-quarters,280000000
Luxury 3 Bedroom Flat,"Sangotedo, Ajah, Lagos","₦130,000,000",Kenneth Abuah Consult 09137178516,3,4.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3190627-luxury-3-bedroom-flat,130000000
3 Bedroom Uncompleted,"Igbogbo Estate, Igbogbo, Ikorodu, Lagos","₦13,000,000",Nikolight 07085741001,3,4.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikorodu/igbogbo/2849642-3-bedroom-uncompleted,13000000
Luxury 3 Bedroom,"Awobo Estate, Igbogbo, Ikorodu, Lagos","₦30,000,000",Nikolight 07085741001,3,3.0,4.0,6.0,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikorodu/igbogbo/3132978-luxury-3-bedroom,30000000
Luxury 3 Bedroom Bungalow,"Igbogbo, Ikorodu, Lagos","₦22,000,000",Nikolight 07085741001,3,3.0,4.0,6.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3132990-luxury-3-bedroom-bungalow,22000000
Luxury 3 Bedroom Bungalow,"Igbogbo, Ikorodu, Lagos","₦25,000,000",Nikolight 07085741001,3,3.0,4.0,9.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3156408-luxury-3-bedroom-bungalow,25000000
Elegant Newly Built 3bedroom Semi Detached Duplex In A Secured Estate,"Sangotedo, Ajah, Lagos","₦180,000,000",Wincovers Realty Ltd 08103254940,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3361427-elegant-newly-built-3bedroom-semi-detached-duplex-in-a-secured-estate,180000000
Lovely 3 Bedroom Apartment With Pool,"Lekki Phase 1, Lekki, Lagos","₦350,000,000",Parah Md 09128450217,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3339423-lovely-3-bedroom-apartment-with-pool,350000000
Spacious 3 Bedroom Apartment With Bq,"Lekki Phase 1, Lekki, Lagos","₦370,000,000",Parah Md 09128450217,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3327822-spacious-3-bedroom-apartment-with-bq,370000000
